thread 1:
wiki-talk-temporal.txt M10.txt 4032 
wiki-talk-temporal.txt M11.txt 8594 
wiki-talk-temporal.txt M12.txt 8962 
wiki-talk-temporal.txt M13.txt 6984 
wiki-talk-temporal.txt M1.txt 3425 
wiki-talk-temporal.txt M2.txt 39806 
wiki-talk-temporal.txt M3.txt 6193 
wiki-talk-temporal.txt M4.txt 5748 
wiki-talk-temporal.txt M5.txt 6208 
wiki-talk-temporal.txt M6.txt 48842 
wiki-talk-temporal.txt M7.txt 79799 
wiki-talk-temporal.txt M8.txt 16497 
wiki-talk-temporal.txt M9.txt 6113 
sx-stackoverflow.txt M10.txt 37021 
sx-stackoverflow.txt M11.txt 114835 
sx-stackoverflow.txt M12.txt 118252 
sx-stackoverflow.txt M13.txt 70649 
sx-stackoverflow.txt M1.txt 36676 
sx-stackoverflow.txt M2.txt 35825 
sx-stackoverflow.txt M3.txt 70867 
sx-stackoverflow.txt M4.txt 68523 
sx-stackoverflow.txt M5.txt 73500 
sx-stackoverflow.txt M6.txt 135992 
sx-stackoverflow.txt M7.txt 63947 
sx-stackoverflow.txt M8.txt 82079 
sx-stackoverflow.txt M9.txt 60521 


thread 2:
wiki-talk-temporal.txt M1.txt 2128
wiki-talk-temporal.txt M2.txt 35227
wiki-talk-temporal.txt M3.txt 4150
wiki-talk-temporal.txt M4.txt 4184
wiki-talk-temporal.txt M5.txt 4114
wiki-talk-temporal.txt M6.txt 34106
wiki-talk-temporal.txt M7.txt 66551
wiki-talk-temporal.txt M8.txt 14117
wiki-talk-temporal.txt M9.txt 4402
wiki-talk-temporal.txt M10.txt 2899
wiki-talk-temporal.txt M11.txt 6017
wiki-talk-temporal.txt M12.txt 6325
wiki-talk-temporal.txt M13.txt 5151
sx-stackoverflow.txt M1.txt 21401
sx-stackoverflow.txt M2.txt 19161
sx-stackoverflow.txt M3.txt 39444
sx-stackoverflow.txt M4.txt 38785
sx-stackoverflow.txt M5.txt 39790
sx-stackoverflow.txt M6.txt 71617
sx-stackoverflow.txt M7.txt 35487
sx-stackoverflow.txt M8.txt 44236
sx-stackoverflow.txt M9.txt 33758
sx-stackoverflow.txt M10.txt 21426
sx-stackoverflow.txt M11.txt 64035
sx-stackoverflow.txt M12.txt 63040
sx-stackoverflow.txt M13.txt 36919

threads 4:
wiki-talk-temporal.txt M1.txt 953
wiki-talk-temporal.txt M2.txt 10872
wiki-talk-temporal.txt M3.txt 1721
wiki-talk-temporal.txt M4.txt 1612
wiki-talk-temporal.txt M5.txt 1742
wiki-talk-temporal.txt M6.txt 12549
wiki-talk-temporal.txt M7.txt 21366
wiki-talk-temporal.txt M8.txt 4955
wiki-talk-temporal.txt M9.txt 1716
wiki-talk-temporal.txt M10.txt 1111
wiki-talk-temporal.txt M11.txt 2387
wiki-talk-temporal.txt M12.txt 2566
wiki-talk-temporal.txt M13.txt 1939
sx-stackoverflow.txt M1.txt 10542
sx-stackoverflow.txt M2.txt 9062
sx-stackoverflow.txt M3.txt 17994
sx-stackoverflow.txt M4.txt 17398
sx-stackoverflow.txt M5.txt 19040
sx-stackoverflow.txt M6.txt 32811
sx-stackoverflow.txt M7.txt 16304
sx-stackoverflow.txt M8.txt 20818
sx-stackoverflow.txt M9.txt 16391
sx-stackoverflow.txt M10.txt 10634
sx-stackoverflow.txt M11.txt 30015
sx-stackoverflow.txt M12.txt 30547
sx-stackoverflow.txt M13.txt 18245

thread 8:
wiki-talk-temporal.txt M1.txt 504
wiki-talk-temporal.txt M2.txt 5338
wiki-talk-temporal.txt M3.txt 915
wiki-talk-temporal.txt M4.txt 867
wiki-talk-temporal.txt M5.txt 917
wiki-talk-temporal.txt M6.txt 6226
wiki-talk-temporal.txt M7.txt 10319
wiki-talk-temporal.txt M8.txt 2264
