% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 91.34  285.952141      752505       380        90 futex
  3.80   11.884880     5942440         2         1 wait4
  1.25    3.923148         141     27702           mprotect
  1.06    3.306828         222     14843           sched_yield
  0.99    3.108205          34     88868           mmap
  0.92    2.882248          84     34138           clock_nanosleep
  0.47    1.482473          16     88811           munmap
  0.06    0.189708           8     22223           read
  0.06    0.175808         393       447       369 openat
  0.04    0.111655        1431        78           close
  0.01    0.036556           0     47568           brk
  0.00    0.014512         226        64           madvise
  0.00    0.001698          26        65           clone
  0.00    0.001320          77        17        14 execve
  0.00    0.001082           4       259           write
  0.00    0.000854           3       254       240 stat
  0.00    0.000596           9        65           set_robust_list
  0.00    0.000137         137         1           sched_setaffinity
  0.00    0.000105           4        24           pread64
  0.00    0.000092          23         4           getdents64
  0.00    0.000080           4        19           fstat
  0.00    0.000031          31         1           set_mempolicy
  0.00    0.000024           4         6           rt_sigaction
  0.00    0.000021           3         6         3 arch_prctl
  0.00    0.000012           4         3         3 access
  0.00    0.000005           5         1           sched_getaffinity
  0.00    0.000004           4         1           get_mempolicy
  0.00    0.000002           2         1           set_tid_address
  0.00    0.000001           1         1           rt_sigprocmask
  0.00    0.000001           1         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00  313.074227                325853       720 total
